ProductModelID,Name,CatalogDescription,rowguid,ModifiedDate
1,Classic Vest,,29321d47-1e4c-4aac-887c-19634328c25e,2007-06-01T00:00:00.0000000
2,Cycling Cap,,474fb654-3c96-4cb9-82df-2152eeffbdb0,2005-06-01T00:00:00.0000000
3,Full-Finger Gloves,,a75483fe-3c47-4aa4-93cf-664b51192987,2006-06-01T00:00:00.0000000
4,Half-Finger Gloves,,14b56f2a-d4aa-40a4-b9a2-984f165ed702,2006-06-01T00:00:00.0000000
5,HL Mountain Frame,,fdd5407b-c2db-49d1-a86b-c13a2e3582a2,2005-06-01T00:00:00.0000000
6,HL Road Frame,,4d332ecc-48b3-4e04-b7e7-227f3ac2a7ec,2002-05-02T00:00:00.0000000
7,HL Touring Frame,,d60ed2a5-c100-4c54-89a1-531404c4a20f,2009-05-16T16:34:28.9800000
8,LL Mountain Frame,,65bf3f6d-bcf2-4db6-8515-fc5c57423037,2006-11-20T09:56:38.2730000
9,LL Road Frame,,ddc67a2f-024a-4446-9b54-3c679baba708,2005-06-01T00:00:00.0000000
10,LL Touring Frame,,66c63844-2a24-473c-96d5-d3b3fd57d834,2009-05-16T16:34:28.9800000
11,Long-Sleeve Logo Jersey,,20efe3f1-a2f8-4dde-b74b-18265f61f863,2005-06-01T00:00:00.0000000
12,Men's Bib-Shorts,,219e2f87-26a9-483b-b968-04578e943096,2006-06-01T00:00:00.0000000
13,Men's Sports Shorts,,45fe0d77-6645-473c-a116-1232baea8d43,2006-06-01T00:00:00.0000000
14,ML Mountain Frame,,0d48c51d-7603-4010-9265-0491805bb010,2006-06-01T00:00:00.0000000
15,ML Mountain Frame-W,,aa77697c-6d1c-48f1-845c-3cb089498715,2006-06-01T00:00:00.0000000
16,ML Road Frame,,3494e8ff-7daf-4860-abf6-97842048e272,2005-06-01T00:00:00.0000000
17,ML Road Frame-W,,ca18ecfd-2023-4fa7-a556-0321153bca34,2006-06-01T00:00:00.0000000
18,Mountain Bike Socks,,36b1a76a-dff3-4a55-86f9-65eb1cb18d7b,2005-06-01T00:00:00.0000000
